ID;Age;Experience;Income;PostCode;Family;CBAvg;Education;CustomerCode;Mortgage;SecuritiesAcc;DepositAcc;OnlineBanking;CreditCard;dateReq;LoanAmount;PersonalLoan
97;41;15;80;25014;1;5.20;1;324175;0;0;0;0;0;13/10/2022;20;0
98;54;28;161;22121;1;2.90;1;321600;0;0;0;1;0;13/10/2022;20;0
99;49;23;94;22374;1;0.30;1;321857;0;0;0;1;0;13/10/2022;25;0
100;66;41;15;21711;3;0.10;3;321133;0;0;0;1;0;13/10/2022;25;0
101;48;23;74;24080;1;1.20;1;322875;0;0;0;1;0;13/10/2022;25;0
102;61;36;30;24608;3;1.30;2;323817;0;0;0;0;0;13/10/2022;20;0
104;43;18;22;25670;2;0.30;2;324765;0;0;0;1;0;13/10/2022;25;0
106;24;0;35;24704;3;0.10;2;323911;0;1;0;1;0;13/10/2022;25;0
108;42;18;43;22037;1;0.70;1;321420;136;0;0;0;0;13/10/2022;25;0
109;33;7;32;25136;1;0.60;3;324486;166;0;0;1;0;13/10/2022;25;0
110;43;17;49;24542;1;2.80;1;323649;0;0;0;1;0;13/10/2022;15;0
111;41;14;9;21330;3;1.00;2;320952;0;0;0;0;0;13/10/2022;15;0
112;62;38;45;24143;4;1.30;2;323136;0;0;0;1;0;13/10/2022;10;0
113;40;15;82;21775;3;1.00;1;321253;309;0;0;0;0;13/10/2022;25;0
114;58;34;92;22703;2;2.80;1;322122;103;0;0;0;0;13/10/2022;25;0
115;39;14;39;22354;3;0.50;3;321832;0;0;0;1;0;13/10/2022;15;0
116;65;40;81;22024;3;1.80;2;321368;0;0;0;1;0;13/10/2022;20;0
117;54;29;35;22831;1;1.50;2;322201;0;0;0;1;0;13/10/2022;25;0
118;58;33;61;22833;2;2.30;3;322212;193;0;0;1;0;13/10/2022;20;0
119;41;16;73;22647;3;3.00;1;322041;0;0;0;1;0;13/10/2022;25;0
120;32;7;112;24304;1;4.60;1;323329;366;0;0;0;0;13/10/2022;25;0
121;54;29;12;20057;2;0.20;3;320278;0;0;0;1;0;13/10/2022;25;0
122;52;26;38;21711;3;0.90;3;321134;0;0;0;1;0;13/10/2022;15;0
124;37;13;84;22130;1;3.60;2;321706;0;1;0;0;0;13/10/2022;10;0
125;39;15;78;22121;4;2.40;1;321601;118;0;0;1;0;13/10/2022;15;0
126;60;35;80;21301;3;0.50;1;320853;0;0;0;1;0;13/10/2022;20;0
128;34;8;82;22646;1;2.70;2;322030;251;0;0;1;0;13/10/2022;25;0
129;38;14;74;22182;2;0.00;1;321765;0;1;0;1;0;13/10/2022;10;0
131;28;4;81;24801;3;1.50;1;324130;276;0;0;1;0;13/10/2022;20;0
133;31;1;51;20840;2;1.75;3;320687;0;0;0;0;0;13/10/2022;20;0
134;30;4;39;20245;3;1.10;2;320426;0;0;0;1;0;13/10/2022;15;0
135;53;29;98;25035;3;1.80;2;324262;0;0;0;0;0;13/10/2022;15;0
137;59;32;49;25035;4;2.50;2;324263;0;0;0;1;0;13/10/2022;10;0
138;49;25;128;25054;2;0.40;1;324327;0;0;0;0;0;13/10/2022;15;0
140;59;35;18;23305;1;1.20;3;322557;0;0;0;1;0;13/10/2022;15;0
145;49;23;70;22023;2;1.50;2;321318;0;0;0;0;0;13/10/2022;20;0
148;50;25;83;24542;4;3.60;3;323650;188;0;0;1;0;13/10/2022;25;0
149;52;28;163;21423;2;0.40;1;321081;116;0;0;1;0;13/10/2022;25;0
150;48;22;42;23255;3;2.20;2;322539;0;0;0;0;0;13/10/2022;10;0
155;54;29;58;22612;4;1.30;3;321941;0;0;0;0;0;13/10/2022;15;0
156;24;0;60;24526;4;1.60;1;323589;0;0;0;1;0;13/10/2022;20;0
160;61;35;41;24545;4;1.70;2;323676;0;1;0;1;0;13/10/2022;10;0
161;29;0;134;25812;4;6.50;3;324821;0;0;0;0;0;13/10/2022;20;1
162;61;35;80;25053;2;2.80;1;324314;0;0;0;1;0;13/10/2022;20;0
163;38;12;52;20036;1;2.00;1;320234;0;0;0;0;0;13/10/2022;25;0
164;28;4;70;21125;4;2.60;1;320796;0;0;0;1;0;13/10/2022;20;0
165;53;27;92;25120;2;1.10;1;324420;0;1;0;0;0;13/10/2022;25;0
166;27;1;43;24706;;1.50;1;323928;0;0;0;1;0;13/10/2022;25;0
167;25;1;21;25827;3;1.00;2;324921;0;0;0;0;0;13/10/2022;20;0
169;50;26;13;21320;4;1.00;1;320898;0;0;0;1;0;13/10/2022;25;0
171;27;1;138;20250;2;2.00;1;320475;0;0;0;1;0;13/10/2022;15;0
172;52;28;11;25817;3;0.40;1;324884;0;1;0;0;0;13/10/2022;20;0
173;38;13;171;22717;2;7.80;1;322136;0;0;0;1;0;13/10/2022;10;0
175;42;17;168;25503;2;7.90;2;324586;0;0;0;1;0;13/10/2022;20;1
176;45;20;85;21711;4;1.10;2;321135;0;1;0;1;0;13/10/2022;25;0
177;52;25;44;23111;3;1.00;2;322415;135;0;0;1;0;13/10/2022;25;0
178;29;3;65;24132;4;1.80;2;323116;244;0;0;0;0;13/10/2022;25;0
180;62;37;11;21242;1;0.10;1;320839;0;0;0;1;0;13/10/2022;20;0
181;51;27;38;20401;2;1.00;3;320540;164;0;0;1;0;13/10/2022;15;0
182;36;12;10;23524;4;0.70;2;322612;81;0;0;0;0;13/10/2022;10;0
183;24;0;135;25133;1;1.50;1;324456;0;0;0;1;0;13/10/2022;25;0
184;29;3;148;22173;3;4.10;1;321752;0;0;0;1;0;13/10/2022;10;1
185;52;26;63;22717;2;1.50;2;322137;0;1;0;1;0;13/10/2022;25;0
186;39;14;115;21320;1;1.00;3;320899;0;0;0;1;0;13/10/2022;25;0
188;46;21;159;24305;3;1.90;3;323380;315;0;0;1;0;13/10/2022;15;1
189;64;40;169;21320;2;2.10;1;320900;122;0;0;1;0;13/10/2022;15;0
190;55;29;112;24043;2;1.40;1;322827;0;0;0;1;0;13/10/2022;25;0
191;60;36;93;22521;1;4.30;1;321901;0;0;0;1;0;13/10/2022;25;0
192;51;25;29;20404;1;0.30;3;320561;140;0;0;0;0;13/10/2022;15;0
193;50;23;85;22122;1;2.67;2;321644;0;0;0;1;0;13/10/2022;25;0
195;53;29;144;22627;2;6.80;1;321998;0;0;0;1;0;13/10/2022;25;0
196;34;10;13;24577;4;1.00;1;323753;95;1;0;1;0;13/10/2022;25;0
198;55;31;9;21345;4;0.70;1;321012;89;0;0;1;0;13/10/2022;10;0
199;27;3;59;24123;4;0.00;1;323091;90;1;0;1;0;13/10/2022;10;0
203;30;3;68;24306;4;2.00;2;323501;0;0;0;1;0;13/10/2022;15;0
204;58;34;65;25747;4;2.20;1;324785;0;0;0;1;0;13/10/2022;10;0
205;56;31;61;26150;2;1.90;2;324991;105;0;0;0;0;13/10/2022;20;0
207;49;25;31;21355;1;1.00;1;321016;0;1;0;1;0;13/10/2022;20;0
208;34;10;71;24115;4;0.10;2;323033;0;0;0;0;0;13/10/2022;20;0
211;51;26;20;22131;2;0.00;1;321726;0;0;0;0;0;13/10/2022;20;0
212;44;18;55;24720;1;0.20;1;323967;0;0;0;0;0;13/10/2022;25;0
213;46;22;69;21604;2;1.70;1;321089;209;0;0;0;0;13/10/2022;15;0
214;57;33;155;21326;1;7.40;1;320948;0;0;0;1;0;13/10/2022;10;0
215;54;28;94;20221;1;1.90;2;320396;0;0;0;0;0;13/10/2022;25;0
217;27;3;125;25521;2;0.60;1;324596;0;0;0;0;0;13/10/2022;25;0
218;39;14;74;24305;3;3.00;1;323381;0;0;0;0;0;13/10/2022;25;0
219;44;20;72;22807;3;0.30;3;322186;0;0;0;1;0;13/10/2022;25;0
222;45;19;83;25051;2;1.70;2;324280;0;0;0;1;0;13/10/2022;25;0
223;26;2;104;24306;3;2.50;1;323502;0;0;0;0;0;13/10/2022;25;0
224;55;25;41;25014;3;1.00;3;324176;0;0;0;1;0;13/10/2022;20;0
225;52;27;58;24305;4;1.80;3;323382;91;0;0;0;0;13/10/2022;15;0
227;24;-1;39;24085;2;1.70;2;322898;0;0;0;0;0;13/10/2022;15;0
231;47;22;92;24720;1;2.80;;323969;0;0;0;1;0;13/10/2022;25;0
232;35;10;61;24304;4;2.10;;323330;0;0;0;1;0;13/10/2022;20;0
233;46;19;38;24122;3;2.50;;323074;135;0;0;0;0;13/10/2022;10;0
234;62;37;58;21320;4;1.70;;320901;0;0;0;1;0;13/10/2022;10;0
235;26;1;80;25616;1;0.80;;324631;150;0;0;0;0;13/10/2022;20;0
236;38;8;71;24720;4;1.80;;323970;0;0;0;1;0;13/10/2022;10;0
238;62;38;83;22521;1;1.80;;321902;0;0;0;1;0;13/10/2022;25;0
240;28;3;52;24112;4;1.70;;323015;0;0;0;0;0;13/10/2022;25;0
241;51;26;70;20082;1;1.20;;320331;169;0;0;0;0;13/10/2022;20;0
243;41;16;75;24005;1;3.70;;322684;280;0;0;0;0;13/10/2022;25;0
244;65;39;170;20025;3;7.90;;320092;99;0;1;1;0;13/10/2022;20;1
245;41;17;78;24025;4;0.80;;322756;78;0;0;1;0;13/10/2022;15;0
246;35;11;25;22614;2;1.00;;321962;0;0;0;0;0;13/10/2022;25;0
248;53;29;120;22626;4;2.70;2;321990;111;1;1;1;0;14/10/2022;20;1
251;30;6;29;24305;3;1.00;2;323383;117;0;0;0;0;14/10/2022;15;0
252;54;28;170;22182;2;6.20;2;321766;325;0;0;1;0;14/10/2022;15;1
254;47;21;138;24583;1;0.00;1;323757;0;0;0;0;0;14/10/2022;15;0
255;65;41;134;21242;3;3.90;3;320840;121;0;0;1;0;14/10/2022;20;1
259;35;9;24;25747;4;0.30;1;324786;0;0;0;1;0;14/10/2022;25;0
260;56;30;55;24107;1;1.40;1;322971;77;0;0;1;0;14/10/2022;10;0
262;42;16;111;23106;2;1.20;3;322343;251;0;0;1;0;14/10/2022;20;1
265;45;19;38;20840;2;0.70;1;320688;0;0;0;0;0;14/10/2022;15;0
266;49;23;23;24305;4;0.60;3;323384;98;1;0;0;0;14/10/2022;25;0
267;63;38;61;24720;2;1.50;1;323971;0;0;0;1;0;14/10/2022;20;0
268;47;22;81;20504;1;2.90;1;320594;138;0;0;0;0;14/10/2022;20;0
269;64;39;129;24002;1;2.50;1;322674;0;0;0;1;0;14/10/2022;15;0
270;43;13;33;25032;1;0.75;3;324226;0;0;0;0;0;14/10/2022;25;0
271;60;36;63;24063;4;2.20;1;322848;0;0;0;1;0;14/10/2022;10;0
272;40;14;70;24223;4;1.40;2;323198;0;0;0;1;0;14/10/2022;20;0
274;41;16;65;20025;3;0.50;3;320093;0;0;0;1;0;14/10/2022;25;0
276;49;24;50;24706;4;1.80;3;323929;0;1;0;0;0;14/10/2022;20;0
277;30;5;22;20058;4;0.50;3;320281;109;0;0;1;0;14/10/2022;25;0
278;29;2;30;22126;4;1.00;3;321690;0;0;0;0;0;14/10/2022;20;0
279;50;26;21;21125;4;1.00;1;320797;0;0;0;1;0;14/10/2022;20;0
280;39;14;155;24577;2;3.90;1;323754;0;0;0;1;0;14/10/2022;10;0
281;33;8;64;22121;4;2.10;3;321604;164;0;0;1;0;14/10/2022;25;0
283;34;9;71;21711;4;0.70;3;321138;0;0;0;1;0;14/10/2022;20;0
284;61;36;40;20022;3;0.50;2;320035;0;1;0;1;0;14/10/2022;20;0
285;44;19;69;22806;3;0.50;3;322177;0;0;0;1;0;14/10/2022;15;0
286;40;13;69;24305;3;2.33;2;323385;0;0;0;0;0;14/10/2022;15;0
287;51;25;45;24806;3;0.60;2;324143;131;0;0;1;0;14/10/2022;10;0
289;44;19;172;24306;2;4.30;3;323503;391;1;1;1;0;14/10/2022;20;1
291;51;25;80;22373;1;4.90;1;321848;0;0;0;0;0;14/10/2022;20;0
292;43;16;8;20082;3;0.67;2;320333;88;0;0;1;0;14/10/2022;15;0
294;45;19;93;20025;4;2.60;3;320094;0;0;0;0;0;14/10/2022;25;0
295;35;9;55;24536;1;2.00;1;323639;0;0;0;1;0;15/10/2022;25;0
297;34;9;122;20623;1;0.00;1;320607;0;0;0;1;0;15/10/2022;25;0
298;55;25;70;23720;3;1.40;3;322666;0;0;0;1;0;15/10/2022;20;0
299;43;19;81;22062;2;3.20;1;321492;0;0;0;0;0;15/10/2022;20;0
300;41;15;159;20057;1;5.50;3;320279;0;0;1;1;0;15/10/2022;15;1
301;34;9;70;22843;4;1.30;1;322222;0;1;0;0;0;15/10/2022;20;0
302;65;39;150;22120;2;6.90;1;321582;196;0;0;0;0;15/10/2022;20;0
303;45;21;152;24550;2;7.50;1;323697;0;0;0;1;0;15/10/2022;25;0
304;49;25;195;25605;4;3.00;1;324618;617;0;0;0;0;15/10/2022;20;1
305;48;23;22;20740;1;0.10;1;320656;0;0;0;0;0;15/10/2022;25;0
306;60;35;22;21207;1;1.30;1;320820;123;0;0;1;0;15/10/2022;25;0
308;42;18;33;20401;1;1.40;3;320541;0;0;0;1;0;15/10/2022;25;0
310;62;38;91;25222;1;3.80;1;324522;0;1;0;1;0;15/10/2022;20;0
312;52;26;121;24550;1;7.30;1;323698;167;0;0;1;0;15/10/2022;20;0
313;36;6;21;21741;1;0.67;3;321195;0;1;0;1;0;15/10/2022;10;0
315;63;37;45;23437;2;0.70;3;322602;0;0;0;1;0;15/10/2022;25;0
316;24;-1;51;20630;3;0.30;3;320609;0;0;0;1;0;15/10/2022;20;0
317;57;31;165;25054;1;1.60;2;324328;0;0;0;1;0;15/10/2022;20;1
318;40;16;119;21335;2;4.20;2;320997;0;0;0;1;0;15/10/2022;20;1
319;27;2;110;25670;4;1.80;3;324766;190;0;0;1;0;15/10/2022;10;0
321;60;34;64;20266;1;0.80;2;320491;248;0;0;0;0;15/10/2022;25;0
322;44;20;101;22717;3;4.40;2;322138;82;0;0;0;0;15/10/2022;15;1
323;63;39;101;22007;1;3.90;1;321288;0;1;1;1;0;15/10/2022;20;1
324;59;34;99;20034;1;4.40;1;320209;0;0;0;0;0;15/10/2022;20;1
325;56;30;158;20082;4;6.10;1;320334;0;0;0;0;0;15/10/2022;20;1
328;58;32;114;21330;2;2.00;1;320953;402;0;0;1;0;15/10/2022;25;0
330;28;4;191;20064;1;6.33;1;320288;0;0;0;1;0;15/10/2022;20;0
331;54;30;78;22374;4;1.00;2;321858;0;0;0;1;0;15/10/2022;15;0
332;32;6;28;24115;3;1.00;1;323034;0;0;0;0;0;15/10/2022;15;0
333;59;33;42;25630;1;0.80;2;324754;0;0;0;1;0;15/10/2022;25;0
334;63;38;140;22407;1;2.50;1;321868;0;0;0;0;0;15/10/2022;20;0
335;48;23;45;25053;1;1.30;2;324315;0;0;0;1;0;15/10/2022;25;0
337;36;12;65;25051;3;2.60;2;324281;0;0;0;1;0;15/10/2022;25;0
338;57;27;68;24117;1;1.40;3;323052;0;0;0;1;0;15/10/2022;10;0
339;29;3;153;23657;2;2.00;1;322653;392;0;0;0;0;15/10/2022;25;0
340;39;13;89;22110;4;1.40;2;321557;0;0;0;0;0;15/10/2022;15;0
342;31;6;55;22038;4;2.00;2;321474;185;0;0;1;0;15/10/2022;25;0
344;35;5;22;23407;1;0.67;3;322580;103;0;0;0;0;15/10/2022;25;0
346;51;27;12;22122;4;0.50;2;321645;78;1;0;1;0;15/10/2022;25;0
347;44;19;50;20745;3;2.70;2;320673;0;0;0;1;0;15/10/2022;20;0
350;26;2;60;23407;2;3.00;1;322581;132;0;0;0;0;15/10/2022;25;1
351;39;14;113;24301;1;1.00;3;323255;0;1;0;1;0;15/10/2022;25;0
352;28;4;155;22182;4;5.30;2;321767;0;0;0;1;0;15/10/2022;20;1
354;53;29;55;25818;4;1.10;2;324891;0;0;0;1;0;15/10/2022;25;0
355;44;20;173;20277;2;1.40;1;320524;419;0;0;1;0;15/10/2022;25;0
357;56;30;24;24704;2;0.40;3;323912;88;0;0;0;0;15/10/2022;25;0
358;38;14;42;24610;1;2.00;2;323851;81;0;0;1;0;15/10/2022;25;0
359;30;6;141;24532;2;4.33;1;323617;0;0;0;1;0;15/10/2022;20;0
360;32;6;32;23106;1;1.90;3;322344;0;0;0;1;0;15/10/2022;25;0
361;35;10;55;24532;4;1.30;1;323618;0;0;0;0;0;15/10/2022;25;0
362;43;19;153;20254;2;7.50;1;320484;0;0;0;1;0;15/10/2022;25;0
364;25;0;30;22621;2;1.70;2;321966;0;0;0;0;0;15/10/2022;20;0
366;57;32;174;20082;1;6.80;2;320335;466;0;0;1;0;15/10/2022;20;1
367;50;24;35;22717;1;0.30;3;322139;0;0;0;1;0;15/10/2022;25;0
368;32;8;98;25054;2;2.00;2;324329;175;0;0;1;0;15/10/2022;15;0
369;63;37;30;22054;2;1.00;3;321481;159;0;0;1;0;15/10/2022;20;0
371;36;12;25;22101;4;1.00;1;321519;147;0;0;0;0;15/10/2022;10;0
372;58;34;19;22022;4;0.70;1;321311;0;0;0;0;0;15/10/2022;10;0
373;56;30;44;23105;4;0.70;2;322333;174;0;0;1;0;15/10/2022;10;0
375;30;5;98;21241;2;3.10;1;320837;220;0;0;1;0;15/10/2022;15;0
376;33;7;90;22346;3;1.60;1;321822;0;0;0;1;0;15/10/2022;20;0
377;45;21;61;24304;3;0.70;1;323332;0;0;0;0;0;15/10/2022;20;0
378;30;5;40;24402;4;2.00;2;323512;0;0;0;1;0;15/10/2022;20;0
379;47;23;38;24618;2;2.10;3;323875;0;0;0;0;0;15/10/2022;15;0
380;25;0;28;22023;2;1.70;2;321319;0;0;0;0;0;15/10/2022;15;0
384;44;18;53;24608;1;0.20;1;323818;0;0;0;1;0;15/10/2022;25;0
386;35;9;40;23243;3;0.90;1;322481;0;0;0;1;0;15/10/2022;20;0
387;30;5;41;25051;4;1.70;2;324283;0;0;0;1;0;15/10/2022;20;0
388;31;5;82;25482;4;1.80;2;324584;0;0;0;1;0;15/10/2022;25;0
389;54;30;100;25814;4;3.40;3;324853;0;0;0;0;0;15/10/2022;20;1
391;45;19;45;22521;1;0.20;1;321903;0;0;0;1;0;15/10/2022;25;0
393;54;29;48;21702;4;1.80;3;321117;0;0;0;1;0;15/10/2022;15;0
396;60;35;64;24502;2;2.80;1;323551;0;0;0;0;0;15/10/2022;25;0
397;50;24;29;23023;4;0.10;1;322289;0;0;0;0;0;15/10/2022;15;0
398;26;2;48;20503;3;0.70;2;320587;0;0;0;1;0;15/10/2022;15;0
399;54;30;23;24608;2;0.40;1;323819;0;0;0;0;0;15/10/2022;25;0
401;36;10;179;24542;3;6.60;1;323652;0;0;0;1;0;15/10/2022;10;1
404;55;30;39;22647;2;1.90;2;322042;0;0;0;0;0;15/10/2022;15;0
405;61;36;60;22866;3;0.50;2;322225;182;0;0;0;0;15/10/2022;20;0
407;45;19;125;22354;1;2.40;1;321833;0;0;0;0;0;15/10/2022;25;0
408;64;40;58;23437;1;1.80;3;322603;0;0;0;1;0;15/10/2022;15;0
409;60;36;89;21745;2;2.80;1;321200;0;0;0;1;0;15/10/2022;15;0
410;49;22;82;20012;1;2.67;2;320025;125;0;0;1;0;15/10/2022;25;0
412;60;36;54;22182;4;2.30;3;321768;0;1;0;0;0;15/10/2022;10;0
413;45;20;89;23311;4;1.90;3;322567;0;0;0;1;0;15/10/2022;15;0
414;32;7;42;22407;3;2.30;1;321869;0;0;0;1;0;15/10/2022;25;0
416;35;8;38;23106;4;1.00;2;322345;124;0;0;1;0;15/10/2022;15;0
417;40;15;85;24304;2;0.40;1;323333;0;0;0;1;0;15/10/2022;10;0
418;53;29;83;20073;4;1.00;2;320322;0;0;0;1;0;15/10/2022;25;0
419;27;0;33;20082;4;1.00;3;320336;0;0;0;0;0;15/10/2022;10;0
422;28;3;115;22333;4;3.10;2;321815;0;0;0;0;0;15/10/2022;20;1
423;46;20;145;21380;2;6.30;1;321054;0;1;1;1;0;15/10/2022;25;0
424;43;19;161;25616;2;7.50;1;324635;0;0;0;0;0;15/10/2022;20;0
425;56;30;38;22022;1;0.20;1;321312;0;0;0;0;0;15/10/2022;10;0
426;28;3;28;20505;4;0.80;1;320600;0;0;0;1;0;15/10/2022;15;0
430;37;13;78;24228;4;0.10;2;323205;0;0;0;1;0;15/10/2022;10;0
431;51;26;113;24086;1;1.30;3;322905;161;0;0;1;0;15/10/2022;25;0
432;39;13;75;24305;3;2.10;1;323388;224;0;0;1;0;15/10/2022;25;0
433;43;17;91;21311;1;5.70;1;320879;0;0;0;1;0;15/10/2022;20;0
435;30;6;45;25812;1;1.80;2;324822;0;0;0;1;0;15/10/2022;25;0
436;52;26;80;24702;3;0.80;1;323890;0;0;0;0;0;15/10/2022;20;0
437;61;35;50;22122;3;1.40;3;321646;112;0;0;1;0;15/10/2022;20;0
438;36;9;31;25825;4;1.00;2;324917;0;1;0;1;0;15/10/2022;10;0
440;47;23;29;24304;4;0.60;1;323334;0;0;0;1;0;15/10/2022;15;0
441;64;39;59;22626;2;1.50;1;321991;139;0;0;1;0;15/10/2022;15;0
442;52;27;43;23555;1;1.30;2;322618;0;1;0;1;0;15/10/2022;25;0
443;58;28;122;25136;1;3.00;3;324487;115;0;0;1;0;15/10/2022;20;1
444;48;24;29;20502;1;1.00;1;320575;0;0;0;0;0;15/10/2022;15;0
446;58;32;65;24520;3;2.20;3;323556;0;0;0;1;0;15/10/2022;25;0
448;49;23;71;25134;1;1.40;3;324469;0;0;0;0;0;15/10/2022;20;0
450;61;37;60;21706;3;2.00;3;321123;0;0;0;1;0;15/10/2022;20;0
